turn,algorithm,hits,originDatabase,originAlgorithm,minTile,maxTile,minBoardValue,maxBoardValue,sumBoardValue,minBoardScore,maxBoardScore,sumBoardScore
37,treeDb_last,38861,16493,22368,2,64,74,148,3325034,192,360,9992984
38,all,205863,93299,112564,2,64,76,152,18048896,196,404,55920216
38,treeDb_first,37440,15856,21584,2,64,76,152,3282954,196,404,10105236
38,treeDb_firstlastmaxtile,36764,18903,17861,2,64,76,152,3225282,200,364,10040916
38,treeDb_firstlastprogress,28652,11817,16835,2,64,76,152,2509564,200,360,7786696
38,treeDb_followMaxTile,36847,18985,17862,2,64,76,152,3232360,212,364,10066836
38,treeDb_followProgress,28685,11876,16809,2,64,76,152,2511224,212,360,7784256
38,treeDb_last,37475,15862,21613,2,64,76,152,3287512,208,364,10136276
39,all,195874,89931,105943,2,64,78,156,17598678,204,408,55873012
39,treeDb_first,35871,15356,20515,2,64,78,156,3223134,204,408,10167244
39,treeDb_firstlastmaxtile,35134,18340,16794,2,64,78,156,3158396,224,376,10070256
39,treeDb_firstlastprogress,26912,11202,15710,2,64,78,156,2415896,216,368,7686996
39,treeDb_followMaxTile,35240,18357,16883,2,64,78,156,3167408,224,380,10097128
39,treeDb_followProgress,26846,11281,15565,2,64,78,156,2409202,224,376,7662044
39,treeDb_last,35871,15395,20476,2,64,78,156,3224642,224,380,10189344
40,all,185612,85876,99736,2,64,80,160,17082894,232,416,55474704
40,treeDb_first,34112,14676,19436,2,64,80,160,3139138,232,416,10129700
40,treeDb_firstlastmaxtile,33386,17590,15796,2,64,80,160,3074366,232,384,10019488
40,treeDb_firstlastprogress,25267,10615,14652,2,64,80,160,2324020,232,380,7568376
40,treeDb_followMaxTile,33473,17488,15985,2,64,80,160,3081954,232,380,10038848
40,treeDb_followProgress,25228,10639,14589,2,64,80,160,2319332,232,408,7551280
40,treeDb_last,34146,14868,19278,2,64,80,160,3144084,232,384,10167012
41,all,176013,82228,93785,2,64,82,164,16587796,236,424,54987520
41,treeDb_first,32413,14003,18410,2,64,82,164,3054462,236,416,10067736
41,treeDb_firstlastmaxtile,31714,16973,14741,2,64,82,164,2990652,236,412,9937600
41,treeDb_firstlastprogress,23825,9912,13913,2,64,82,164,2244030,236,384,7463740
41,treeDb_followMaxTile,31788,17061,14727,2,64,82,164,2997136,236,420,9953100
41,treeDb_followProgress,23798,9989,13809,2,64,82,164,2239780,236,412,7454036
41,treeDb_last,32475,14290,18185,2,64,82,164,3061736,236,424,10111308
42,all,166779,79454,87325,2,64,84,168,16089196,244,424,54341980
42,treeDb_first,30750,13766,16984,2,64,84,168,2966544,244,420,9974984
42,treeDb_firstlastmaxtile,30064,16516,13548,2,64,84,168,2902310,244,420,9823244
42,treeDb_firstlastprogress,22546,9464,13082,2,64,84,168,2173084,244,424,7353308
42,treeDb_followMaxTile,30142,16296,13846,2,64,84,168,2909620,244,424,9839056
42,treeDb_followProgress,22446,9540,12906,2,64,84,168,2161964,244,416,7329100
42,treeDb_last,30831,13872,16959,2,64,84,168,2975674,244,424,10022288
43,all,158736,75381,83355,2,64,86,172,15667628,248,428,53804724
43,treeDb_first,29366,13011,16355,2,64,86,172,2898882,248,428,9919408
43,treeDb_firstlastmaxtile,28662,15788,12874,2,64,86,172,2831356,252,428,9742600
43,treeDb_firstlastprogress,21327,8947,12380,2,64,86,172,2102362,256,428,7229480
43,treeDb_followMaxTile,28713,15736,12977,2,64,86,172,2835966,252,428,9748820
43,treeDb_followProgress,21206,8754,12452,2,64,86,172,2089236,252,424,7194164
43,treeDb_last,29462,13145,16317,2,64,86,172,2909826,248,428,9970252
44,all,151633,71172,80461,2,64,88,176,15305924,256,440,53312280
44,treeDb_first,28163,12428,15735,2,64,88,176,2843550,256,432,9875692
44,treeDb_firstlastmaxtile,27467,14963,12504,2,64,88,176,2775364,264,436,9687216
44,treeDb_firstlastprogress,20171,8234,11937,2,64,88,176,2032698,264,432,7078100
44,treeDb_followMaxTile,27521,14889,12632,2,64,88,176,2780088,264,432,9697732
44,treeDb_followProgress,20053,8248,11805,2,64,88,176,2019654,264,440,7043224
44,treeDb_last,28258,12410,15848,2,64,88,176,2854570,264,432,9930316
45,all,145610,66130,79480,2,64,90,180,15023356,268,448,52901268
45,treeDb_first,27153,11516,15637,2,64,90,180,2802718,268,448,9850648
45,treeDb_firstlastmaxtile,26500,14067,12433,2,64,90,180,2737158,268,436,9660064
45,treeDb_firstlastprogress,19102,7491,11611,2,64,90,180,1966684,268,436,6912588
